index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
0,35534,11902,0.33495,0.0383842301548365,0.012420192827211645,0.8952989571231798,6482.511906425483,678.7257570641523,0.02307110019262957,0.7992063544029298,0.11822062950870219,0.20285454972997713,0.18256909475697944,False,False,0.19679550717331146,2.5838635738648605,0.0058017463938137325,2.4522927157290617,0.24153531342416987
1,1605,342,0.21308,0.24453539253138928,0.0554469026117347,0.9485872149005161,325.2710555260656,16.723090876843898,0.028668444196967558,0.9931040384620181,0.06501715288889352,0.2543839615873352,0.22894556542860167,False,False,0.20814738262520024,1.87325994323325,0.0001941033557579259,2.313163303714195,0.013490694440393216
2,13404,2966,0.22128,0.06990149570513039,0.011466239240478324,0.9730927656782592,7606.029439250694,204.65721637997723,0.02668178145605732,0.9242840223668066,0.11280534884886806,0.6347053242859769,0.5712347918573792,False,False,0.318222690486497,1.2256106976977361,0.0023994079292012052,1.2862956244278623,0.039585081345487196
3,8014,3267,0.40766,0.07204557099792795,0.01703745420880791,0.9440764377210625,3445.0108718175197,192.65728004170373,0.026796487682039728,0.9282575625937268,0.14239843037159688,0.574320200767316,0.5168881806905844,False,False,0.22830814711155276,1.943276713242749,0.001977140199388135,1.4493354579282467,0.019266235330567864
4,1473,248,0.16836,0.31480604922548766,0.03308783772305835,0.9889528402025417,913.4046659101529,10.090527304053465,0.028746903385419048,0.9958219444763902,0.058602563910635445,0.5565445102669416,0.5008900592402475,False,False,0.22240403811259668,1.3821951283633993,0.00013098004274426976,1.4973298222792575,0.039348684661571764
5,1593,478,0.30006,0.23828582887398586,0.0234077837620969,0.9903500699907405,1825.0694955585845,17.611792894174904,0.028657980125040054,0.9927415523773683,0.10310154066412314,0.8781047395344389,0.7902942655809951,False,False,0.2072862971285757,1.9165353634047122,0.00016076928538039844,0.6291172032570147,0.5788855062759918
6,1759,570,0.32405,0.16955168250728261,0.03406140483478947,0.9596428113696758,861.9357375076567,34.785303145814126,0.028457993388842803,0.985813808618698,0.15792083853746186,0.8420791614625381,0.7578712453162844,False,False,0.26453433514151137,1.6578594018237254,0.0003699223511444709,0.726386264051147,0.054833546946290807
7,14048,7441,0.52968,0.05762497808846568,0.010386405272330729,0.9675130468174262,9269.780934314133,301.1469392257782,0.025810023350834498,0.8940854357636886,0.006981178243906928,0.4070878043293318,0.36637902389639865,False,False,0.15139623564878138,2.6998143475397947,0.0032530065568780187,1.900862928310804,0.061913626499754404
8,25067,13677,0.54562,0.038981282279900026,0.006983136370654415,0.9679085896023977,20506.849939819138,658.0937373807825,0.023198835758432422,0.8036312442010117,0.023231223416166243,0.9767687765838337,0.8790918989254504,False,True,0.1802446117663593,2.409897164879708,0.006963380468605988,0.36272430322364885,0.022447042215387677
9,17288,7251,0.41942,0.04495335098266449,0.011062775234197849,0.9394374664041734,8170.9362556261,494.85260149071365,0.024290364555257318,0.8414429108815166,0.04995494560680269,0.6669241693929145,0.6002317524536231,False,False,0.21199206190208908,2.9000901087863946,0.003385542472835983,1.1993047426391306,0.6140307105213961
