index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
0,3575,1188,0.33231,0.12159775769561439,0.039276099400501426,0.8956708742782983,648.2511547268402,67.63147622073483,0.028086879611299582,0.9729580502568246,0.11822062950870219,0.20285454972997713,0.18256909475697944,False,False,0.19679550717331146,2.5838635738648605,0.0058017463938137325,2.4522927157290617,0.24153531342416987
1,163,37,0.22699,0.773370857131404,0.17533876305248,0.9485979698796166,32.52700849460641,1.6719542703657242,0.028847423965657676,0.9993040795199823,0.06501715288889352,0.2543839615873352,0.22894556542860167,False,False,0.20814738262520024,1.87325994323325,0.0001941033557579259,2.313163303714195,0.013490694440393216
2,1320,297,0.225,0.22102808702895735,0.03625944478834333,0.9730879135168334,760.6024156469606,20.469397989196406,0.02862441058921211,0.9915786695445582,0.11280534884886806,0.6347053242859769,0.5712347918573792,False,False,0.318222690486497,1.2256106976977361,0.0023994079292012052,1.2862956244278623,0.039585081345487196
3,794,343,0.43199,0.22775885080762293,0.05387713724017509,0.9440424750278221,344.5013888662203,19.277445070431483,0.028638398634090095,0.9920632296331027,0.14239843037159688,0.574320200767316,0.5168881806905844,False,False,0.22830814711155276,1.943276713242749,0.001977140199388135,1.4493354579282467,0.019266235330567864
4,160,27,0.16875,0.9980086150322016,0.10463280449554427,0.9890082421698416,91.34068580825678,1.0039946984449426,0.028855444852601605,0.9995819311941553,0.058602563910635445,0.5565445102669416,0.5008900592402475,False,False,0.22240403811259668,1.3821951283633993,0.00013098004274426976,1.4973298222792575,0.039348684661571764
5,155,55,0.35484,0.7519187832832978,0.07402191027024332,0.9903087742636799,182.50695643328768,1.7687161132437264,0.02884626259989035,0.9992638486296788,0.10310154066412314,0.8781047395344389,0.7902942655809951,False,False,0.2072862971285757,1.9165353634047122,0.00016076928538039844,0.6291172032570147,0.5788855062759918
6,158,50,0.31646,0.5361961146851457,0.10771188490572473,0.9596466191411981,86.19314911637773,3.478184973712696,0.028825768123201367,0.9985538991316817,0.15792083853746186,0.8420791614625381,0.7578712453162844,False,False,0.26453433514151137,1.6578594018237254,0.0003699223511444709,0.726386264051147,0.054833546946290807
7,1437,740,0.51496,0.1821123884098118,0.03284461674504258,0.9674725950289347,926.9826439720157,30.15233986162662,0.028511531853114995,0.987668435424271,0.006981178243906928,0.4070878043293318,0.36637902389639865,False,False,0.15139623564878138,2.6998143475397947,0.0032530065568780187,1.900862928310804,0.061913626499754404
8,2527,1373,0.54333,0.12085037999844972,0.022082672363497043,0.9666107074579279,2050.6745522446004,68.47057253347772,0.02807758830552404,0.9726361899833866,0.023231223416166243,0.9767687765838337,0.8790918989254504,False,False,0.1802446117663593,2.409897164879708,0.006963380468605988,0.36272430322364885,0.022447042215387677
9,1712,723,0.42231,0.1423577342244433,0.03498361201453619,0.9396097035674645,817.0915219884815,49.34439922539597,0.02829169144245646,0.9800529402079232,0.04995494560680269,0.6669241693929145,0.6002317524536231,False,False,0.21199206190208908,2.9000901087863946,0.003385542472835983,1.1993047426391306,0.6140307105213961
10,164,81,0.4939,0.34570899338202954,0.0811305758815084,0.944925855175327,151.9255728597118,8.367171002247176,0.028767395296799145,0.9965318051094807,0.08322154959781568,0.804642038883306,0.7241778349949755,False,False,0.2672810268795519,2.410392750928273,0.0005915452814860189,0.8274664950150739,0.014670438637778779
11,2782,186,0.06686,0.3104395487929742,0.018027052518519864,0.9966279394773092,3077.1633559883817,10.376381074599127,0.028743508616616092,0.9957043462354568,0.16028042927356378,0.281682320530659,0.2535140884775931,False,False,0.29439660110232646,2.3721583354341145,0.0006216764650363206,2.2394577345672206,0.47801237663311535
12,5567,458,0.08227,0.17898933439614217,0.01307035838210173,0.9946676249753796,5853.626502003492,31.21373176273927,0.028499239741275745,0.987242624179513,0.10118452962716562,0.12141576220290624,0.10927418598261562,False,False,0.3099341922409682,2.108559222885417,0.0023061973357931336,2.672177442052153,0.6275248675985853
