logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.138229840634597167e+04 -1.138829112063266257e+04 1.985000000000000098e+00
-1.138829112063266257e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.096094832130922259e+04 -1.096694353559591400e+04 5.050000000000000044e-01
-1.096694353559591400e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.057978516433750156e+04 -1.058578287862419347e+04 5.600000000000000533e-01
-1.058578287862419347e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -9.972709079423617368e+03 -9.978709293710307975e+03 7.299999999999999822e-01
-9.978709293710307975e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -9.716724261608600500e+03 -9.722726975895291616e+03 1.129999999999999893e+00
-9.722726975895291616e+03 nan -1.250000000000000069e-02 4.000000000000000000e+02 -9.376074120954584942e+03 -9.382079335241276567e+03 1.804999999999999938e+00
-9.382079335241276567e+03 nan -1.500000000000000118e-02 4.000000000000000000e+02 -9.374313677510959678e+03 -9.380321391797651813e+03 1.199999999999999956e-01
-9.380162339679927754e+03 nan -1.750000000000000167e-02 4.000000000000000000e+02 -9.183119205088343733e+03 -9.189129419375034558e+03 1.120000000000000107e+00
-9.189129419375034558e+03 2.669359440642315349e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -9.056134887215046547e+03 -9.062147601501737881e+03 8.850000000000000089e-01
-9.062147601501737881e+03 9.515889592347771497e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -8.876266139906385433e+03 -8.882281354193077277e+03 5.050000000000000044e-01
-8.882281354193077277e+03 6.690456874571657409e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -8.627395953382163498e+03 -8.633413667668854032e+03 8.950000000000000178e-01
-8.633413667668854032e+03 1.477036599994814878e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -8.593215112494001005e+03 -8.599235326780692048e+03 3.950000000000000178e-01
-8.599235326780692048e+03 7.750839936933955698e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -8.546542077403566509e+03 -8.552564791690258062e+03 1.814999999999999947e+00
-8.552564791690258062e+03 2.484069239953633357e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -7.970324393151980075e+03 -7.976349607438671228e+03 2.849999999999999756e-01
-7.976349607438671228e+03 2.206638170010797921e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -7.969759767924344487e+03 -7.975787482211036149e+03 2.550000000000000044e-01
-7.975336408882374599e+03 5.622763069888276899e-01 -3.749999999999999861e-02 4.000000000000000000e+02 -7.935319588949608260e+03 -7.941349803236299522e+03 5.999999999999999778e-01
-7.941349803236299522e+03 1.472312379777378233e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -7.701371518229560934e+03 -7.707404232516251795e+03 1.034999999999999920e+00
-7.707404232516251795e+03 7.379281793945131085e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -7.592322686150751906e+03 -7.598357900437443277e+03 5.500000000000000444e-01
-7.598357900437443277e+03 5.181050339403355309e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -7.468728385483596867e+03 -7.474766099770287838e+03 1.179999999999999938e+00
-7.474766099770287838e+03 8.765074516826157947e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -7.437539351214722046e+03 -7.443579565501413526e+03 1.635000000000000009e+00
-7.443579565501413526e+03 7.228762303478438866e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -7.383240240048736268e+03 -7.389282954335427348e+03 1.000000000000000000e+00
