logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.241744294973823344e+03 -7.247737009260514242e+03 1.014999999999999902e+00
-7.247737009260514242e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.284322366666133348e+03 -6.290317580952824756e+03 1.800000000000000044e+00
-6.290317580952824756e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.006329105678481938e+03 -6.012326819965172945e+03 2.250000000000000056e-01
-6.012326819965172945e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.315622176127774765e+03 -5.321622390414466281e+03 1.229999999999999982e+00
-5.321622390414466281e+03 3.401248992312353607e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -5.268883301157761707e+03 -5.274886015444452823e+03 1.834999999999999964e+00
-5.274886015444452823e+03 3.447399201970692957e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.029168703317644940e+03 -5.035173917604336566e+03 8.149999999999999467e-01
-5.035173917604336566e+03 2.708553939204328458e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -4.931884411105465006e+03 -4.937892125392156231e+03 1.534999999999999920e+00
-4.937892125392156231e+03 9.548219268119784431e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.866539987055171878e+03 -4.872550201341863612e+03 1.485000000000000098e+00
-4.872550201341863612e+03 1.151919766902287279e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -4.706405799795023995e+03 -4.712418514081715330e+03 2.700000000000000178e-01
-4.712418514081715330e+03 7.566645056232754030e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.489518283095356310e+03 -4.495533497382047244e+03 1.749999999999999889e-01
-4.495533497382047244e+03 1.153741285957218992e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -4.374294332396299978e+03 -4.380312046682991422e+03 1.729999999999999982e+00
-4.380312046682991422e+03 1.368529319455881819e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -4.242297197478641465e+03 -4.248317411765332508e+03 2.349999999999999867e-01
-4.248317411765332508e+03 1.789829440664065032e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -4.076824568831800661e+03 -4.082847283118491760e+03 8.249999999999999556e-01
-4.082847283118491760e+03 1.192385222471553732e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -4.035197159130221735e+03 -4.041222373416912887e+03 8.050000000000000488e-01
-4.041222373416912887e+03 5.759073445780727951e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.992158453488332270e+03 -3.998186167775023478e+03 9.449999999999999512e-01
-3.998186167775023478e+03 2.826735192489039505e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.977835386643377660e+03 -3.983865600930068922e+03 1.945000000000000062e+00
-3.983865600326597360e+03 3.173364564005335708e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.958415919479323748e+03 -3.964448633766015064e+03 9.649999999999999689e-01
-3.964448633762322515e+03 2.228868438549586273e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.635711176792662627e+03 -3.641746391079353998e+03 9.500000000000000111e-02
-3.641746391079353998e+03 1.689651049362313415e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.620432597977269324e+03 -3.626470312263960750e+03 1.620000000000000107e+00
-3.626470312031856338e+03 1.413594635688711243e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.574564779388893839e+03 -3.580604993675585320e+03 6.400000000000000133e-01
-3.580604993675585320e+03 2.226787798013184627e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.547021831905696217e+03 -3.553064546192387752e+03 1.324999999999999956e+00
-3.553064546192386842e+03 1.247400706969767015e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.473225263974194149e+03 -3.479270478260885284e+03 1.985000000000000098e+00
-3.479270478260885284e+03 3.676933598352651700e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -3.442616158026297398e+03 -3.448663872312988588e+03 6.149999999999999911e-01
