logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.676933355095848128e+03 -7.682926069382539026e+03 8.399999999999999689e-01
-7.682926069382539026e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.244966730619522423e+03 -7.250961944906213830e+03 1.479999999999999982e+00
-7.250961944906213830e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.029250914088906029e+03 -7.035248628375597036e+03 1.320000000000000062e+00
-7.035248628375597036e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.790584960538099040e+03 -6.796585174824790556e+03 1.969999999999999973e+00
-6.796585174824790556e+03 1.364898813625483740e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -6.473558829082083321e+03 -6.479561543368774437e+03 1.264999999999999902e+00
-6.479561543368774437e+03 1.494363194176290790e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -6.062111181396363463e+03 -6.068116395683055089e+03 8.800000000000000044e-01
-6.068116395683055089e+03 3.157987109687152838e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -5.981379709783857834e+03 -5.987387424070549059e+03 1.905000000000000027e+00
-5.987387424070549059e+03 2.039298937272223782e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -5.867226383198791154e+03 -5.873236597485482889e+03 2.650000000000000133e-01
-5.873236597485482889e+03 2.152195304383601524e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -5.837388155980652300e+03 -5.843400870267343635e+03 4.000000000000000083e-02
-5.843400870267343635e+03 8.361266016917719313e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -5.691995149765535643e+03 -5.698010364052226578e+03 8.349999999999999645e-01
-5.698010364052226578e+03 6.873101858092154259e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.689224848733974795e+03 -5.695242563020666239e+03 5.400000000000000355e-01
-5.695181656134573132e+03 1.266714875305079868e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -5.665435422253860452e+03 -5.671455636540551495e+03 7.049999999999999600e-01
-5.671455636540501473e+03 9.069357685818062009e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -5.550819981903442567e+03 -5.556842696190134120e+03 1.625000000000000000e+00
-5.556842696190134120e+03 5.664563692964739516e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -5.532355161922260777e+03 -5.538380376208951930e+03 1.229999999999999982e+00
-5.538380376199359489e+03 8.572648525112889217e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -5.529906792017042790e+03 -5.535934506303734452e+03 1.709999999999999964e+00
-5.535851406067357857e+03 5.906985911431018366e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -5.517632583686105136e+03 -5.523662797972796398e+03 9.200000000000000400e-01
-5.523662792884719238e+03 9.755378875977907427e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -5.432714718484297009e+03 -5.438747432770987871e+03 1.435000000000000053e+00
-5.438747432770987871e+03 4.739989336949008703e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -5.272118107715669794e+03 -5.278153322002361165e+03 1.830000000000000071e+00
-5.278153322002361165e+03 7.992193282201166937e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -5.258420976054410858e+03 -5.264458690341101828e+03 8.349999999999999645e-01
-5.264458689212614445e+03 4.652092580597543048e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -5.214453305797491339e+03 -5.220493520084182819e+03 1.909999999999999920e+00
-5.220493520084182819e+03 1.859477068461978178e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -5.192275728486371008e+03 -5.198318442773062088e+03 1.229999999999999982e+00
-5.198318442772828348e+03 1.925586317624752297e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -5.083508411014540798e+03 -5.089553625301232387e+03 1.139999999999999902e+00
-5.089553625301232387e+03 5.870177652556348136e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -5.082711289261742422e+03 -5.088759003548433611e+03 1.185000000000000053e+00
-5.088386232392774218e+03 5.086364676369295523e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -5.064461105191940987e+03 -5.070511319478632686e+03 9.250000000000000444e-01
-5.070511319461373205e+03 3.470224984276065072e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -4.821358756709570116e+03 -4.827411470996261414e+03 5.000000000000000278e-02
-4.827411470996261414e+03 1.241768407979301259e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -4.776484599909276767e+03 -4.782539814195967665e+03 1.209999999999999964e+00
-4.782539814195967665e+03 1.280346501617763977e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -4.727156082703389075e+03 -4.733213796990080482e+03 8.649999999999999911e-01
-4.733213796990080482e+03 9.447902890650560437e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -4.696904897543089646e+03 -4.702965111829780653e+03 1.514999999999999902e+00
-4.702965111829780653e+03 3.446029954817179686e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -4.580104870521405246e+03 -4.586167584808096763e+03 9.050000000000000266e-01
-4.586167584808096763e+03 6.886333366630464070e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -4.563832291531727606e+03 -4.569897505818418722e+03 1.520000000000000018e+00
-4.569897505732518766e+03 3.641718215324640795e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -4.477564735461773125e+03 -4.483632449748464751e+03 4.899999999999999911e-01
-4.483632449748464751e+03 6.651171632602553530e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -4.427723366481105586e+03 -4.433793580767796811e+03 5.500000000000000444e-01
-4.433793580767796811e+03 2.296028416565262020e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -4.384356724812121683e+03 -4.390429439098813418e+03 1.064999999999999947e+00
-4.390429439098813418e+03 1.667288462320302855e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -4.322892639564417550e+03 -4.328967853851108885e+03 1.179999999999999938e+00
-4.328967853851108885e+03 2.660009723186565012e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -4.310901198792864307e+03 -4.316978913079555241e+03 9.599999999999999645e-01
-4.316978906867035221e+03 1.979708977080045429e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -4.268127003085135584e+03 -4.274207217371827028e+03 1.659999999999999920e+00
-4.274207217371827028e+03 1.824361089689076820e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -4.237582757281422346e+03 -4.243665471568113389e+03 1.364999999999999991e+00
-4.243665471568113389e+03 2.216367949016643024e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -4.236417484761640480e+03 -4.242502699048332033e+03 9.200000000000000400e-01
-4.242230675250813874e+03 9.194007257216043172e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -4.233880075686724922e+03 -4.239967789973416075e+03 6.650000000000000355e-01
