logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.106372301023775253e+04 -1.106971572452444343e+04 1.129999999999999893e+00
-1.106971572452444343e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.099219181488979484e+04 -1.099818702917648625e+04 1.145000000000000018e+00
-1.099818702917648625e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.039895687695160268e+04 -1.040495459123829460e+04 7.199999999999999734e-01
-1.040495459123829460e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.015327924040731887e+04 -1.015927945469400947e+04 4.249999999999999889e-01
-1.015927945469400947e+04 3.504198244458168574e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -9.890938097130552705e+03 -9.896940811417243822e+03 1.834999999999999964e+00
-9.896940811417243822e+03 3.946799259771987636e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -9.742858220731321126e+03 -9.748863435018012751e+03 6.350000000000000089e-01
-9.748863435018012751e+03 1.422915838585581412e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -9.729192445169797793e+03 -9.735200159456489928e+03 9.849999999999999867e-01
-9.735200158292056585e+03 1.243350400613734195e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -9.361751153754192273e+03 -9.367761368040883099e+03 5.300000000000000266e-01
-9.367761368040883099e+03 2.630522994340889227e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -9.258858973727714329e+03 -9.264871688014405663e+03 1.294999999999999929e+00
-9.264871688014405663e+03 2.215989680057402609e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -9.207226239543673728e+03 -9.213241453830365572e+03 2.849999999999999756e-01
-9.213241453830365572e+03 1.435915567159542263e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -9.122294865075518828e+03 -9.128312579362209362e+03 2.149999999999999967e-01
-9.128312579362209362e+03 1.630942561536267306e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -9.042715127542907794e+03 -9.048735341829598838e+03 8.950000000000000178e-01
-9.048735341829598838e+03 1.823962518611270696e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -8.811963852919747296e+03 -8.817986567206438849e+03 4.749999999999999778e-01
-8.817986567206438849e+03 2.392387798486297186e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -8.689866946219754027e+03 -8.695892160506446089e+03 1.560000000000000053e+00
-8.695892160506446089e+03 2.171722651179466084e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -8.648049778236343627e+03 -8.654077492523034380e+03 7.049999999999999600e-01
-8.654077492523034380e+03 2.005630955991751421e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -8.607591399381668452e+03 -8.613621613668359714e+03 1.020000000000000018e+00
-8.613621613668359714e+03 2.641162624215330013e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -8.575187075644997094e+03 -8.581219789931688865e+03 3.800000000000000044e-01
-8.581219789931688865e+03 2.239900156229035133e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -8.565389971561828133e+03 -8.571425185848518595e+03 1.590000000000000080e+00
-8.571425130098452428e+03 2.409972670643970005e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -8.540730840701680791e+03 -8.546768554988371761e+03 1.135000000000000009e+00
-8.546768554988351752e+03 2.949842922897420650e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -8.489845796840905678e+03 -8.495886011127597158e+03 1.114999999999999991e+00
-8.495886011127597158e+03 4.700090729733712180e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -8.364488164845386564e+03 -8.370530879132078553e+03 1.600000000000000033e-01
-8.370530879132078553e+03 8.534343197284334792e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -8.340585060644163605e+03 -8.346630274930854284e+03 1.534999999999999920e+00
-8.346630274930812448e+03 4.134623516010422861e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -8.232587935153413127e+03 -8.238635649440104316e+03 1.049999999999999961e-01
-8.238635649440104316e+03 6.922560499583232740e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -8.148761711711829776e+03 -8.154811925998521474e+03 5.899999999999999689e-01
-8.154811925998521474e+03 1.058691999857500008e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -7.888718044872946848e+03 -7.894770759159638146e+03 1.735000000000000098e+00
-7.894770759159638146e+03 2.082959782042981658e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -7.859830340572319074e+03 -7.865885554859009972e+03 4.299999999999999933e-01
-7.865885554859009972e+03 1.431426235559494486e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -7.677222508140322134e+03 -7.683280222427013541e+03 8.999999999999999667e-02
-7.683280222427013541e+03 9.528971141021209235e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -7.607074054403686205e+03 -7.613134268690377212e+03 1.995000000000000107e+00
-7.613134268690377212e+03 9.227679004057290513e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -7.524832303782671261e+03 -7.530895018069362777e+03 5.699999999999999512e-01
-7.530895018069362777e+03 1.296114763055167316e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -7.365962658347041724e+03 -7.372027872633732841e+03 1.049999999999999961e-01
-7.372027872633732841e+03 1.810506883212698312e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -7.360511439466679803e+03 -7.366579153753371429e+03 8.499999999999999778e-01
-7.366574861167417112e+03 1.608173639414296758e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -7.322953599333598504e+03 -7.329023813620289729e+03 8.050000000000000488e-01
-7.329023813620289729e+03 1.729606892716417406e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -7.250370395524419109e+03 -7.256443109811110844e+03 6.850000000000000533e-01
-7.256443109811110844e+03 1.799010351797471685e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -7.240128493952443023e+03 -7.246203708239134357e+03 4.749999999999999778e-01
-7.246203672505545001e+03 1.886894604490822189e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -7.231761259831987445e+03 -7.237838974118678379e+03 1.100000000000000006e-01
-7.237838741198524076e+03 5.295472754494631396e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -7.207767258656439481e+03 -7.213847472943130924e+03 1.530000000000000027e+00
-7.213847472943092725e+03 1.417673248089503879e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -7.190072145505173467e+03 -7.196154859791864510e+03 1.024999999999999911e+00
-7.196154859771153497e+03 1.762198888351840154e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -7.165735845659970437e+03 -7.171821059946661990e+03 1.300000000000000044e-01
-7.171821059946634705e+03 2.176514364064370000e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -7.067410336755891876e+03 -7.073498051042583029e+03 4.899999999999999911e-01
-7.073498051042583029e+03 4.652778396745303269e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -7.003430307755960712e+03 -7.009520522042652374e+03 1.034999999999999920e+00
-7.009520522042652374e+03 4.819519423441862216e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -6.980302480487053799e+03 -6.986395194773745061e+03 1.560000000000000053e+00
-6.986395194773654111e+03 2.425436685484333665e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -6.782783388135512723e+03 -6.788878602422203585e+03 9.399999999999999467e-01
-6.788878602422203585e+03 8.544340391497517828e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -6.678561461393502213e+03 -6.684659175680193584e+03 1.840000000000000080e+00
-6.684659175680193584e+03 8.346885877652233887e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -6.669217764392172285e+03 -6.675317978678863255e+03 1.820000000000000062e+00
-6.675317890948356762e+03 3.070412661095769025e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -6.615894303121617668e+03 -6.621997017408309148e+03 1.870000000000000107e+00
-6.621997017408309148e+03 4.770384160856386302e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -6.609086105730099007e+03 -6.615191320016790087e+03 1.745000000000000107e+00
-6.615190213181980653e+03 4.919097367596743453e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -6.559630624651979815e+03 -6.565738338938671404e+03 5.000000000000000278e-02
-6.565738338938671404e+03 3.454304539399786478e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -6.550451939506260715e+03 -6.556562153792951904e+03 1.989999999999999991e+00
-6.556562050323783296e+03 3.692023801699771468e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -6.528995602248396608e+03 -6.535108316535088306e+03 1.165000000000000036e+00
-6.535108316534606274e+03 3.863977722581836360e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -6.520005073079991234e+03 -6.526120287366682533e+03 9.899999999999999911e-01
-6.526120162478481689e+03 2.716618301746579700e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -6.517481462505296804e+03 -6.523599176791987702e+03 1.024999999999999911e+00
-6.523521863648147701e+03 1.279667194290343701e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -6.466815068256632912e+03 -6.472935282543324320e+03 9.100000000000000311e-01
-6.472935282543324320e+03 1.964552570981781798e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -6.440034965604338140e+03 -6.446157679891029147e+03 6.500000000000000222e-02
-6.446157679891026419e+03 2.747948361698599484e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -6.433605459371927282e+03 -6.439730673658618798e+03 1.895000000000000018e+00
-6.439729057679645848e+03 9.032391894138978472e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -6.425115678307199232e+03 -6.431243392593890349e+03 2.049999999999999878e-01
-6.431243186209112537e+03 4.539002499526746170e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -6.287621048996779791e+03 -6.293751263283471417e+03 6.800000000000000488e-01
-6.293751263283471417e+03 6.987755336156912733e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -6.251261599725708948e+03 -6.257394314012400173e+03 1.625000000000000000e+00
-6.257394314012400173e+03 6.362824385367753166e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -6.122869922801776738e+03 -6.129005137088468473e+03 1.635000000000000009e+00
-6.129005137088468473e+03 6.104993221223399757e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -6.067229718789662002e+03 -6.073367433076353336e+03 4.050000000000000266e-01
-6.073367433076353336e+03 2.696989699400155160e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -6.058153128533054769e+03 -6.064293342819745703e+03 9.150000000000000355e-01
-6.064293228229463239e+03 2.974116951361593308e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -6.010656826062649998e+03 -6.016799540349341441e+03 4.450000000000000067e-01
-6.016799540349341441e+03 3.421130637501295269e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -5.998195039617980001e+03 -6.004340253904671044e+03 1.574999999999999956e+00
-6.004340250023169574e+03 1.648440017216481479e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -5.969237529313561936e+03 -5.975385243600253489e+03 1.024999999999999911e+00
-5.975385243600253489e+03 1.444637621577909847e+01 -1.575000000000000844e-01 4.000000000000000000e+02 -5.946103180524075469e+03 -5.952253394810766622e+03 1.429999999999999938e+00
-5.952253394810676582e+03 1.945987977817531345e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -5.907116390515425337e+03 -5.913269104802116999e+03 1.929999999999999938e+00
-5.913269104802116999e+03 3.345243775106029460e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -5.883697543155749372e+03 -5.889852757442440634e+03 4.600000000000000200e-01
-5.889852757442373331e+03 1.860227130790221750e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -5.876634683183934612e+03 -5.882792397470625474e+03 1.745000000000000107e+00
-5.882791539369885868e+03 1.294868927439929251e+01 -1.675000000000000933e-01 4.000000000000000000e+02 -5.845029678861128559e+03 -5.851189893147819930e+03 7.049999999999999600e-01
